削除された単語一覧（frequency=0 = コーパスに未出現）
削除件数: 53,409 件
==================================================

-冊	-サツ
-方	-ホウ
-様	-サマ
-氏	-シ
-番目	-バンメ
-風	-カゼ
1/4マイル	1/4マイル
100万命令毎秒	100マンメイレイマイビヨウ
根は	ネハ
根もと	ネモト
根冠	ネカン
根原	コンゲン
根子	ネコ
根底にある	コンテイニアル
根性のすわった	コンジヨウノスワツタ
根性骨	コンジヨウホネ
根拠地	コンキヨチ
根掘り葉掘り	ネホリハホリ
根本主義	コンポンシユギ
根本原理	コンポンゲンリ
根本的	コンポンテキ
根本的に	コンポンテキニ
根本規範	コンポンキハン
根柢	コンテイ
根気仕事	コンキシゴト
根気強さ	コンキツヨサ
根治的	コンジテキ
根球	ネタマ
根積	ネセキ
根積み	ネツミ
根系	コンケイ
根絶やしにする	ネダヤシニスル
根絶やす	コンゼツヤス
根継	ネケイ
根菜作物	コンサイサクモツ
根足虫類	ネアシムシルイ
格付	カクツケ
格例	カクレイ
格好いい	カツコウイイ
格好のいい	カツコウノイイ
格好の悪い	カツコウノワルイ
格好よい	カツコウヨイ
格好悪い	カツコウワルイ
格好良い	カツコウヨイ
格子窓	コウシマド
格幅	カツプク
格段に	カクダンニ
格物学	カクブツガク
格納庫	カクノウコ
格調高雅	カクチヨウコウガ
格闘戦部隊	カクトウセンブタイ
栽培所	サイバイトコロ
桁はずれ	ケタハズレ
桂冠詩人	ケイカンシジン
桃源郷	トウゲンキヨウ
案じる	アンジル
案じ事	アンジコト
案内人	アンナイニン
案内嬢	アンナイジヨウ
案内広告	アンナイコウコク
案内書	アンナイシヨ
案内者	アンナイシヤ
案内記	アンナイキ
案配	アンバイ
桑実胚	ソウジツハイ
桑楡	クワニレ
桑茶色	クワチヤイロ
桑門	クワカド
桜んぼ	サクランボ
桜んぼう	サクランボウ
桝	マス
桟瓦	サンカワラ
桧扇	ヒオウギ
桧舞台	ヒノキブタイ
桿状体	カンジヨウカラダ
桿細胞	カンサイボウ
桿菌性	カンキンセイ
梏桎	コクアシカセ
梢頭	シヨウトウ
梨の実	ナシノミ
梨果	リカ
梯	テイ
梯梧	デイゴ
梱包業	コンポウギヨウ
梱包用箱	コンポウヨウハコ
梳毛糸	ソモウイト
梳毛織物	ソモウオリモノ
梵天王	ボンテンオウ
梼昧	トウマイ
棄てる	ステル
棄て去る	ステサル
棄世	キヨ
棄損	キソン
棉	メン
棋	キ
棒きれ	ボウキレ
棒ぐい	ボウグイ
棒グラフ	ボウグラフ
棒付きキャンデー	ボウツキキヤンデー
棒切	ボウギレ
棒振	ボウシン
棒振り	ボウフリ
棒杭	ボツクイ
棒磁石	ボウジシヤク
棒紅	ボウクレナイ
棒組	ボウグミ
棒高跳び	ボウタカトビビ
棗椰子	ナツメヤシ
棘々	ナツメ々
棘々しい	ナツメ々シイ
棘棘	ナツメナツメ
棘棘しい	ナツメナツメシイ
棘皮動物	キヨクヒドウブツ
棘細胞腫	ナツメサイボウシユ
棘融解	ナツメユウカイ
棘鰭上目	キヨクキウワメ
棚あげ	タナアゲ
棚おろし	タナオロシ
棚びく	タナビク
棚卸	タナオロシ
棚卸し資産	タナオロシシサン
棚卸表	タナオロシオモテ
棚卸資産	タナオロシシサン
棚牡丹	タナボタン
棟割り	ムネワリリ
棟瓦	ムネガワラ
森厳さ	シンゲンサ
森林再生	シンリンサイセイ
森林地	シンリンチ
森林地帯	シンリンチタイ
森林学	シンリンガク
森林火災	シンリンカサイ
森林限界	シンリンゲンカイ
森羅万象	シンラバンシヨウ
森閑たる	シンカンタル
森閑とした	シンカントシタ
棲み家	スミイエ
棲む	スム
棲家	スミカ
棹	サオ
棹子	サオコ
棺箱	ヒツギハコ
椀状のもの	ワンジヨウノモノ
椅子取り	イストリ
椈	キク
植えこむ	ウエコム
植えつけ	ウエツケ
植えつける	ウエツケル
植えつけること	ウエツケルコト
植えなおす	ウエナオス
植え疱瘡	ウエホウソウ
植え直す	ウエナオス
植付	ウエツケ
植付け	ウエツケケ
植付ける	ウエツケケル
植字機	シヨクジキ
植木室	ウエキシツ
植木屋	ウエキヤ
植木師	ウエキシ
植木鉢	ウエキバチ
植樹祭	シヨクジユマツリ
植民地	シヨクミンチ
植民地主義	シヨクミンチシユギ
植民地化	シヨクミンチカ
植物ウイルス	シヨクブツウイルス
植物プランクトン	シヨクブツプランクトン
植物ホルモン	シヨクブツホルモン
植物器官	シヨクブツキカン
植物園	シヨクブツエン
植物学	シヨクブツガク
植物学者	シヨクブツガクモノ
植物性	シヨクブツセイ
植物油	シヨクブツユ
植物流行病	シヨクブツリユウコウビヨウ
植物界	シヨクブツカイ
植物相	シヨクブツソウ
植物細胞	シヨクブツサイボウ
植物象牙	シヨクブツゾウゲ
植物質	シヨクブツシツ
植物食性	シヨクブツシヨクセイ
植疱瘡	シヨクホウソウ
植直す	シヨクナオス
植込	ウエコミ
植込み	ウエコミミ
植込む	ウエコミム
椎弓切除	ツイキユウセツジヨ
椎弓根	ツイキユウネ
椎間板	ツイカンバン
椎骨動脈	ツイコツドウミヤク
検める	ケンメル
検事総長	ケンジソウチヨウ
検出不可能	ケンシユツフカノウ
検出可能	ケンシユツカノウ
検出器	ケンシユツキ
検問所	ケンモンジヨ
検察官	ケンサツカン
検査と修理	ケンサトシユウリ
検査員	ケンサイン
検査官	ケンサカン
検査室	ケンサシツ
検査役	ケンサヤク
検査済みの	ケンサスミノ
検死	ケンシ
検死解剖	ケンシカイボウ
検流計	ケンリユウケイ
検疫船	ケンエキフネ
検眼医	ケンガンイ
検眼鏡	ケンガンカガミ
検知器	ケンチウツワ
検索エンジン	ケンサクエンジン
検閲官	ケンエツカン
検電器	ケンデンウツワ
検面調書	ケンメンチヨウシヨ
椰子油	ヤシアブラ
椰子科	ヤシカ
椿堂	ツバキドウ
楊梅	ヤマモモ
楓子香	モミジコカオリ
楓属	モミジゾク
楓糖	モミジトウ
楓糖尿症	モミジトウニヨウシヨウ
楔型	クサビカタ
楔状骨	ケツジヨウホネ
楔部	クサビブ
楕円幾何学	ダエンキカガク
楕円面	ダエンメン
楚々たる	ソソタル
楚楚たる	ソソタル
楫とり	シユウトリ
楫取	カジトリ
楫取り	カジトリリ
楫枕	シユウマクラ
楫柄	シユウガラ
業務代理人	ギヨウムダイリニン
業務代理店	ギヨウムダイリテン
業務通話	ギヨウムツウワ
業因	ギヨウイン
業界アナリスト	ギヨウカイアナリスト
業突く張り	ギヨウツクハリ
業突張	ゴウツクバリ
業突張り	ゴウツクバリリ
業績悪化	ギヨウセキアツカ
業間	ギヨウカン
楯	タテ
楯つく	タテツク
楯突く	タテツク
極々	ゴクゴク
極って	キヨクツテ
極まって	キワマツテ
極まり悪さ	キマリワルサ
極まり無い	キワマリナイ
極めこむ	キワメコム
極め込む	キワメコム
極り切った	キマリキツタ
極り悪さ	キマリワルサ
極低温科学	ゴクテイオンカガク
極前線	キヨクゼンセン
極大化	キヨクダイカ
極小化	キヨクシヨウカ
極度の不快感	キヨクドノフカイカン
極座標	キヨクザヒヨウ
極性がある	キヨクセイガアル
極悪人	ゴクアクニン
極極	キヨクキヨク
極楽固め	ゴクラクカタメ
極楽浄土	ゴクラクジヨウド
極楽鳥花	ゴクラクチヨウハナ
極超短波	キヨクチヨウタンパ
極込む	キヨクコム
極道者	ゴクドウモノ
極重悪人	キヨクジユウアクニン
極限点	キヨクゲンテン
楽々と	ラクラクト
楽しいこと	タノシイコト
楽しく	タノシク
楽しげ	タノシゲ
楽しげに	タノシゲニ
楽しさ	タノシサ
楽しそうな	タノシソウナ
楽しび	タノシビ
楽しみにする	タノシミニスル
楽しみに待つ	タノシミニマツ
楽に	ラクニ
楽にする	ラクニスル
楽になること	ラクニナルコト
楽句法	ガツクホウ
楽器演奏者	ガツキエンソウモノ
楽天主義	ラクテンシユギ
楽天主義者	ラクテンシユギシヤ
楽天地	ラクテンチ
楽天家	ラクテンカ
楽天的	ラクテンテキ
楽天論	ラクテンロン
楽屋口	ガクヤクチ
楽屋掲示板	ガクヤケイジバン
楽師	ガクシ
楽手	ラクテ
楽楽	ラクラク
楽欲	ギヨウヨク
楽滑走音	ラクカツソウオト
楽観主義	ラクカンシユギ
楽観的	ラクカンテキ
楽観論	ラクカンロン
概していえば	ガイシテイエバ
概念作用	ガイネンサヨウ
概念化	ガイネンカ
概念構成	ガイネンコウセイ
概念的	ガイネンテキ
概念論	ガイネンロン
概日性	ガイジツセイ
概要を述べる	ガイヨウヲノベル
榑	フ
榴弾砲	リユウダンホウ
榴散弾	ザクロサンダン
榴霰弾	ザクロサンダン
槃特	ハントク
構	コウ
構いつける	カマイツケル
構い付ける	カマイツケル
構付ける	コウツケル
構成される	コウセイサレル
構成主義	コウセイシユギ
構成単位	コウセイタンイ
構成子	コウセイシ
構成成分	コウセイセイブン
構成物	コウセイモノ
構成要素	コウセイヨウソ
構文エラー	コウブンエラー
構文解析器	コウブンカイセキウツワ
構文言語	コウブンゲンゴ
構築物	コウチクブツ
構造上	コウゾウジヨウ
構造主義	コウゾウシユギ
構造体	コウゾウタイ
構造式	コウゾウシキ
構造物	コウゾウブツ
構造的	コウゾウテキ
構造色	コウゾウイロ
構造言語学	コウゾウゲンゴガク
構造遺伝子	コウゾウイデンシ
構音不能	コウオンフノウ
槌の子	ツチノコ
槌骨	ツチコツ
槍が降ろうが	ヤリガフロウガ
槍の穂先	ヤリノホサキ
槍騎兵	ヤリキヘイ
様体	サマカラダ
様式化	ヨウシキカ
様様	サマサマ
槭	シユク
槭樹	シユクキ
槽櫪	ソウレキ
槿	ムクゲ
標す	シルス
標号	ヒヨウゴウ
標本抽出	ヒヨウホンチユウシユツ
標準偏差	ヒヨウジユンヘンサ
標準化	ヒヨウジユンカ
標準尺度	ヒヨウジユンシヤクド
標準手続き	ヒヨウジユンテツヅキ
標準時	ヒヨウジユンジ
標準時間	ヒヨウジユンジカン
標準温度	ヒヨウジユンオンド
標準的	ヒヨウジユンテキ
標準軌	ヒヨウジユンキ
標準電池	ヒヨウジユンデンチ
標的器官	ヒヨウテキキカン
標的細胞	ヒヨウテキサイボウ
標題	ヒヨウダイ
標題音楽	ヒヨウダイオンガク
模す	モス
模る	カタドル
模倣的	モホウテキ
模倣者	モホウモノ
模型地図	モケイチズ
模式化	モシキカ
模式図	モシキズ
模式標本	モシキヒヨウホン
模式的	モシキテキ
模擬裁判	モギサイバン
模様替	モヨウガエ
模様替え	モヨウガエエ
模範例	モハンレイ
模範囚	モハンシユウ
模範的	モハンテキ
模糊たる	モコタル
権利を与える	ケンリヲアタエル
権利放棄証書	ケンリホウキシヨウシヨ
権利書	ケンリシヨ
権利章典	ケンリシヨウテン
権利譲渡	ケンリジヨウト
権力構造	ケンリヨクコウゾウ
権力者	ケンリヨクシヤ
権地	ケンチ
権威を付与する	ケンイヲフヨスル
権威を持って	ケンイヲモツテ
権威的	ケンイテキ
権威者	ケンイシヤ
権能賦与法	ケンノウフヨホウ
権謀術数	ケンボウジユツスウ
権謀術策	ケンボウジユツサク
権輿	ケンヨ
権限のない	ケンゲンノナイ
権限を付与する	ケンゲンヲフヨスル
権限委譲	ケンゲンイジヨウ
横える	ヨコエル
横ぎる	ヨコギル
横さん	ヨコサン
横すべり	ヨコスベリ
横ずっぽう	ヨコズツポウ
横ずれ断層	ヨコズレダンソウ
横ぞっぽう	ヨコゾツポウ
横たう	ヨコタウ
横とんぼ返り	ヨコトンボカエリ
横どり	ヨコドリ
横に	ヨコニ
横になったまま起きている	ヨコニナツタママオキテイル
横ばい	ヨコバイ
横やり	ヨコヤリ
横切って	ヨコギツテ
横取	ヨコシユ
横座標	ヨコザヒヨウ
横斜	ヨコシヤ
横断が可能な場所	オウダンガカノウナバシヨ
横断歩道	オウダンホドウ
横断歩道橋	オウダンホドウハシ
横柄さ	オウヘイサ
横柄に	オウヘイニ
横梁	ヨコハリ
横泳ぎ	ヨコオヨギ
横流	オウリユウ
横浜	ヨコハマ
横災	ヨコサイ
横町	ヨコチヨウ
横目で見る	ヨコメデミル
横突起	ヨコトツキ
横紋筋	オウモンスジ
横紋筋肉腫	オウモンキンニクシユ
横紋筋腫	オウモンキンシユ
横行濶歩	オウコウカツポ
横行結腸	オウコウケツチヨウ
横行闊歩	オウコウカツポ
横訛	ヨコナマリ
横謀	ヨコボウ
横這	ヨコバイ
横隔	ヨコカク
横隔神経	ヨコカクシンケイ
横隔膜	オウカクマク
横静脈洞	ヨコジヨウミヤクホラ
横鞍	ヨコクラ
横領者	オウリヨウモノ
樫鳥	カシドリ
樵	シヨウ
樵路	シヨウミチ
樹形図	ジユケイズ
樹梢	コズエ
樹状の	ジユジヨウノ
樹状突起	ジユジヨウトツキ
樹脂加工	ジユシカコウ
樹脂状物質	ジユシジヨウブツシツ
橄欖石	カンランイシ
橅	ブナ
橈骨動脈	トウコツドウミヤク
橈骨手根骨関節	トウコツシユコンホネカンセツ
橈骨神経	トウコツシンケイ
橋本病	ハシモトビヨウ
橋渡	ハシワタリ
橋絡T回路	ハシラクTカイロ
橋脚舟	キヨウキヤクフネ
橋頭保	キヨウトウホ
橋頭堡	キヨウトウホ
橙皮油	ダイダイカワアブラ
橙花油	ダイダイハナアブラ
橙黄色	トウコウイロ
機会の土地	キカイノトチ
機会の地	キカイノチ
機会をやっと見いだす	キカイヲヤツトミイダス
機会費用	キカイヒヨウ
機作	キサク
機動力	キドウリヨク
機場	ハタバ
機嫌よく	キゲンヨク
機嫌悪く	キゲンワルク
機密性	キミツセイ
機敏さ	キビンサ
機智	キチ
機械仕掛け	キカイシカケ
機械化	キカイカ
機械工	キカイコウ
機械工学	キカイコウガク
機械的	キカイテキ
機械的に	キカイテキニ
機械翻訳	キカイホンヤク
機械装置	キカイソウチ
機械製図	キカイセイズ
機械言語	キカイゲンゴ
機械語	キカイゴ
機械論的	キカイロンテキ
機械類	キカイルイ
機構的	キコウテキ
機物	キモノ
機知に富んだ話	キチニトンダハナシ
機織鳥	ハタオリトリ
機翼	キヨク
機能している状態	キノウシテイルジヨウタイ
機能不全	キノウフゼン
機能主義	キノウシユギ
機能学派	キノウガクハ
機能性	キノウセイ
機能的	キノウテキ
機能障害	キノウシヨウガイ
機能障害性	キノウシヨウガイセイ
機銃掃射	キジユウソウシヤ
機関士	キカンシ
機関室	キカンシツ
機関庫	キカンコ
機関手	キカンテ
機関紙	キカンシ
機関車	キカンシヤ
機関銃	キカンジユウ
機関銃で撃つ	キカンジユウデウツ
機関銃を発射する	キカンジユウヲハツシヤスル
機雷敷設区域	キライフセツクイキ
機雷敷設艦	キライフセツカン
橡の木	トチノキ
橿	カシ
檀那	ダンナ
檳榔子	ビロウコ
檸檬	レモン
檻房	ランボウ
櫂臍	カイヘソ
櫻	サクラ
欝	ウツ
欝憤	ウツプン
欝欝たる	ウツウツタル
欝気	ウツキ
欝病	ウツビヨウ
欝積	ウツセキ
欝陶しい	ウツトウシイ
欠くこと	カクコト
欠けら	カケラ
欠乏性	ケツボウセイ
欠乏状態	ケツボウジヨウタイ
欠乏症	ケツボウシヨウ
欠勤率	ケツキンリツ
欠席中に	ケツセキナカニ
欠席裁判	ケツセキサイバン
欠神発作	ケツシンホツサ
欠遺	ケツイ
次-	ツギ-
次々と	ツギツギト
次々に	ツギツギニ
次に	ツギニ
次のとおりで	ツギノトオリデ
次のように	ツギノヨウニ
次亜リン酸	ジアリンサン
次亜塩素酸	ジアエンソサン
次亜塩素酸ナトリウム	ジアエンソサンナトリウム
次亜塩素酸塩	ジアエンソサンエン
次次	ツギツギ
次次と	ツギツギト
次次に	ツギツギニ
次点者	ジテンモノ
次第に	シダイニ
次第次第	シダイシダイ
次第次第に	シダイシダイニ
欣び	キンビ
欣ぶ	キンブ
欣幸	キンコウ
欣悦	キンエツ
欣慕	キンボ
欧化する	オウカスル
欧州中央銀行	オウシユウチユウオウギンコウ
欧州刑事警察機構	オウシユウケイジケイサツキコウ
欧州経済共同体	オウシユウケイザイキヨウドウタイ
欲しがる	ホツシガル
欲ばり	ヨクバリ
欲情した	ヨクジヨウシタ
欲求不満	ヨツキユウフマン
欷歔	キキヨ
欺いて	ギイテ
欺き	アザムキ
欺す	ギス
欺瞞的	ギマンテキ
欺瞞者	ギマンモノ
欺詐	ギサ
欺騙	ギヘン
欽定講座担任教授	キンテイコウザタンニンキヨウジユ
款待	カンタイ
歌うたい	ウタウタイ
歌上げる	ウタアゲル
歌劇団	カゲキダン
歌劇場	カゲキジヨウ
歌屑	ウタクズ
歌留多	カルタ
歌笛	ウタフエ
歌詞を書き直す	カシヲカキナオス
歌謡曲	カヨウキヨク
歎き	ナゲキ
歎く	ナゲク
歎じる	タンジル
歎ずる	タンズル
歎声	タンセイ
歎息	タンソク
歎称	タンシヨウ
歎美	タンビ
歎賞	タンシヨウ
歎願	タンガン
歎願書	タンガンカキ
歓び	カンビ
歓ぶ	カンブ
歓喜して	カンキシテ
歓天喜地	カンテンキチ
歓語	カンゴ
歔欷き	キヨキキ
歔泣	キヨキユウ
止	シ
止どまる	シドマル
止まらす	トマラス
止むなく	ヤムナク
止むをえず	トムヲエズ
止むを得ず	ヤムヲエズ
止めどない	トメドナイ
止めどなく	トメドナク
止めること	ヤメルコト
止め処なく	トメトコロナク
止め処無い	トメトコロナイ
止め処無く	トメトコロナク
止らす	トマラス
止る	トマル
止ん事無い	ヤンコトナシイ
止事無い	ヤンゴトナイ
止処なく	トメドナク
止処無く	トメドナク
止瀉薬	シシヤクスリ
止血剤	シケツザイ
止血帯	シケツオビ
止血性	シケツセイ
正しいとする	タダシイトスル
正しさ	タダシサ
正のフィードバック	マサノフイードバツク
正の強化因子	マサノキヨウカインシ
正三角形	セイサンカツケイ
正中線	セイチユウセン
正二十面体	シヨウジジユウメンタイ
正八面体	シヨウハチメンタイ
正六面体	シヨウロクメンタイ
正典として認められない	マサノリトシテミトメラレナイ
正切	セイセツ
正割	セイカツ
正十二面体	セイジユウニメンタイ
正反対	セイハンタイ
正反対に	セイハンタイニ
正反対の	セイハンタイノ
正善	セイゼン
正四面体	セイシメンカラダ
正多角形	セイタカクケイ
正多面体	セイタメンタイ
正子	マサコ
正字法	セイジホウ
正帰還	セイキカン
正常位	セイジヨウイ
正常体温	セイジヨウタイオン
正常化	セイジヨウカ
正常圧	セイジヨウアツ
正常性	セイジヨウセイ
正式に	セイシキニ
正弦曲線	セイゲンキヨクセン
正弦波	セイゲンハ
正当さ	セイトウサ
正当づける	セイトウヅケル
正当な法の手続き	セイトウナホウノテツヅキ
正当な資格のあること	セイトウナシカクノアルコト
正当に	セイトウニ
正当付ける	セイトウツケル
正当化	セイトウカ
正当化できる理由	セイトウカデキルリユウ
正当性	セイトウセイ
正当性を立証する	セイトウセイヲリツシヨウスル
正教会	セイキヨウカイ
正教性	セイキヨウセイ
正教授	セイキヨウジユ
正断層	セイダンソウ
正方形	セイホウケイ
正方晶	セイホウアキ
正方行列	セイホウギヨウレツ
正書法	セイシヨホウ
正条植	セイジヨウシヨク
正準	セイジユン
正直さ	シヨウジキサ
正看護婦	セイカンゴフ
正真正銘	シヨウシンシヨウメイ
正確さ	セイカクサ
正確な	セイカクナ
正確度	セイカクド
正確性	セイカクセイ
正積図法	セイセキズホウ
正統信教	セイトウシンキヨウ
正統性	セイトウセイ
正装した	セイソウシタ
正装する	セイソウスル
正規分布	セイキブンプ
正規化器	セイキカウツワ
正規化投影座標系	セイキカトウエイザヒヨウケイ
正規曲線	セイキキヨクセン
正規軍	セイキグン
正規陸軍	セイキリクグン
正角定木	シヨウカクテイキ
正誤表	セイゴヒヨウ
正長石	シヨウチヨウイシ
正電荷をもつ	セイデンカヲモツ
正面の方へ	シヨウメンノホウヘ
正餐を取る	セイサンヲトル
此から	コレカラ
此に	コニ
此のごろ	コノゴロ
此のほど	コノホド
此の上	コノウエ
此の上とも	コノアガトモ
此の中	コノナカ
此の先	コノサキ
此の後	コノノチ
此の程	コノホド
此の節	コノフシ
此れから	コレレカラ
此れほど	コレレホド
此れ程	コレレホド
此中	コレナカ
此先	コレサキ
此処に	ココニ
此処において	ココニオイテ
此処に於て	ココニオイテ
此処一番	ココイチバン
此後	コレノチ
此所彼所	コレトコロカレトコロ
此程	コレホド
此節	コレフシ
此頃	コノゴロ
武器を使わない	ブキヲツカワナイ
武器を持たない	ブキヲモタナイ
武器を持った	ブキヲモツタ
武器体系	ブキタイケイ
武器倉	ブキクラ
武器庫	ブキコ
武器貸与	ブキタイヨ
武器輸送車	ブキユソウシヤ
武器運搬車	ブキウンパンクルマ
武庫	ムコ
武断主義	ブダンシユギ
武断的	ブダンテキ
武者修業	ムシヤシユギヨウ
武者修行者	ムシヤシユギヨウモノ
武装した	ブソウシタ
武装イスラム集団	ブソウイスラムシユウダン
武装戦闘	ブソウセントウ
武装解除	ブソウカイジヨ
武骨	ブコツ
歩いて行ける	アルイテイケル
歩きまわる	アルキマワル
歩き廻る	アルキマワル
歩き方	アルキカタ
歩回る	ホマワル
歩寄	ホヨリ
歩寄り	ホヨリ
歩歩	ホホ
歩行器	ホコウウツワ
歩行運動	ホコウウンドウ
歩行運動失調	ホコウウンドウシツチヨウ
歩路	ホミチ
歩道橋	ホドウキヨウ
歪さ	ヒズミサ
歪なり	ヒズナリ
歪みなり	ヒズミナリ
歪み形	ヒズミカタチ
歪力	ヒズミチカラ
歪形	ヒズミカタチ
歯がゆい	ハガユイ
歯ぐき	ハグキ
歯の妖精	ハノヨウセイ
歯みがき	ハミガキ
歯むかう	ハムカウ
歯ブラシ	ハブラシ
歯内療法学	ハナイリヨウホウガク
歯内療法専門医	ハナイリヨウホウセンモンイ
歯冠	シカン
歯刷子	ハブラシ
歯剥	ハハク
歯剥き	ハムキ
歯医者	ハイシヤ
歯向	ハコウ
歯向う	ハムコウ
歯向かう	ハムカウ
歯向き	ハムキ
歯周治療学	シシユウチリヨウガク
歯周疾患	シシユウシツカン
歯周病	シシユウビヨウ
歯朶	シダ
歯槽突起	シソウトツキ
歯槽膿漏	シソウノウロウ
歯状核	シジヨウカク
歯状葉	シジヨウハ
歯磨き粉	ハミガキコ
歯磨剤	ハミガキザイ
歯磨粉	ハミガキコナ
歯科医	シカイ
歯科医師	シカイシ
歯科大学	シカダイガク
歯科学	シカガク
歯科技工士	シカギコウシ
歯科矯正	シカキヨウセイ
歯科矯正学	シカキヨウセイガク
歯科衛生士	シカエイセイシ
歯科補綴学	シカホテツガク
歯肉炎	シニクホノオ
歯茎音	シケイオン
歯軋りする	ハギシリスル
歯髄腔	シズイコウ
歯齦炎	シギンホノオ
歳取る	トシトル
歳歳	サイサイ
歴々たる	レキレキタル
歴たる	レキタル
歴代史	レキダイシ
歴史上	レキシジヨウ
歴史主義	レキシシユギ
歴史地図	レキシチズ
歴史学	レキシガク
歴史学派	レキシガクハ
歴史家	レキシカ
歴史的	レキシテキ
歴史言語学	レキシゲンゴガク
歴歴	レキレキ
歴歴たる	レキレキタル
歴然たる	レキゼンタル
死すべき	シスベキ
死におくれる	シニオクレル
死にたえる	シニタエル
死にはてる	シニハテル
死にもの狂いで	シニモノクルイデ
死にわかれる	シニワカレル
死に入る	シニイル
死に後れる	シニウシレル
死に損い	シニソンイ
死に果てる	シニハテル
死に神	シニカミ
死に至らしめること	シニイタラシメルコト
死に遅れる	シニオクレル
死びと	シビト
死んだ	シンダ
死んだふりをする	シンダフリヲスル
死亡事故	シボウジコ
死亡状態	シボウジヨウタイ
死亡率	シボウリツ
死亡者	シボウシヤ
死亡表	シボウオモテ
死体検案	シタイケンアン
死体泥棒	シタイドロボウ
死体硬直	シタイコウチヨク
死体置き場	シタイオキバ
死体解剖	シタイカイボウ
死出の旅	シデノタビ
死別れる	シベツレル
死前	シマエ
死後れる	シゴレル
死後硬直	シゴコウチヨク
死果てる	シハテル
死歿	シボツ
死毒	シドク
死海	シカイ
死海文書	シカイブンシヨ
死生学	シセイガク
死絶える	シタエル
死身	シニミ
死軸	シジク
死遅れる	シオクレル
歿	ボツ
歿する	ボツスル
殆	タイ
殆んど	ホトンド
殉教者	ジユンキヨウモノ
殉難者	ジユンナンモノ
殊のほか	コトノホカ
殊の他	コトノホカ
殊勲章	シユクンシヨウ
残された	ノコサレタ
残される	ノコサレル
残して死ぬ	ノコシテシヌ
残り高	ノコリタカ
残分	ザンブン
残刻	ザンコク
残刻さ	ザンコクサ
残存生物	ザンソンセイブツ
残存者	ザンソンモノ
残忍さ	ザンニンサ
残忍に	ザンニンニ
残忍冷酷	ザンニンレイコク
残忍性	ザンニンセイ
残忍酷薄	ザンニンコクハク
残忍非道	ザンニンヒドウ
残念がる	ザンネンガル
残念そうに	ザンネンソウニ
残念である	ザンネンデアル
残念ですが	ザンネンデスガ
残念ながら	ザンネンナガラ
残念に思う	ザンネンニオモウ
残留性	ザンリユウセイ
残留物	ザンリユウブツ
残虐さ	ザンギヤクサ
残酷さ	ザンコクサ
残酷な行為	ザンコクナコウイ
残酷に	ザンコクニ
残響音	ザンキヨウオン
殖える	フエル
殖やす	フヤス
殖民	シヨクミン
殖財	シヨクザイ
殪れる	エイレル
殲滅された	センメツサレタ
殴	オウ
殴り	ナグリ
殴りたおす	ナグリタオス
殴りつける	ナグリツケル
殴り書き	ナグリガキ
殴ること	ナグルコト
殴付ける	オウツケル
殴倒す	オウタオス
殴書	オウカキ
殴書き	オウカキ
段びら	ダンビラ
段ボール	ダンボール
段梯子	ダンバシゴ
段段	ダンダン
段違い平行棒	ダンチガイヘイコウボウ
段階的	ダンカイテキ
殷富	イントミ
殺ぐ	ソグ
殺された	コロサレタ
殺すこと	コロスコト
殺る	サツル
殺人刀	サツジンカタナ
殺人犯	サツジンハン
殺人的	サツジンテキ
殺人者	サツジンシヤ
殺伐さ	サツバツサ
殺害された	サツガイサレタ
殺害者	サツガイシヤ
殺真菌性	サツシンキンセイ
殺真菌薬	サツシンキンクスリ
殺菌剤	サツキンザイ
殺虫剤	サツチユウザイ
殺虫性	サツチユウセイ
殻斗	カラト
殻頂	カクチヨウ
殿さま	ドノサマ
殿上人	テンジヨウニン
殿人	ドノニン
殿名	ドノメイ
殿様	トノサマ
殿様蝗虫	トノサマバツタ
殿筋	デンキン
毀し	コワシ
毀す	コワス
毅然たる	キゼンタル
母さん	カアサン
母じゃ人	ハハジヤニン
母ちゃん	カアチヤン
母上	ハハウエ
母君	ハハギミ
母国語	ボコクゴ
母御	ハハオ
母性的	ボセイテキ
母指	オヤユビ
母様	ハハサマ
母系制	ボケイセイ
母系性	ボケイセイ
母系的	ボケイテキ
母細胞	ハハサイボウ
母者人	ハハジヤニン
母趾	ボシ
母集団	ボシユウダン
母音交替	ボインコウタイ
母音体系	ボインタイケイ
母音性	ボインセイ
母音転換	ボインテンカン
毎分回転数	マイフンカイテンスウ
毎日毎日	マイニチマイニチ
毎時間の	マイジカンノ
毎毎	マイマイ
毎週毎週	マイシユウマイシユウ
毒づく	ドクヅク
毒を入れる	ドクヲイレル
毒ガスで中毒させる	ドクガスデチユウドクサセル
毒ガスで攻撃する	ドクガスデコウゲキスル
毒ガスで窒息させる	ドクガスデチツソクサセル
毒ガス弾	ドクガスダン
毒ガス戦術	ドクガスセンジユツ
毒ガス攻撃	ドクガスコウゲキ
毒トカゲ	ドクトカゲ
毒心	ドクココロ
毒物学	ドクブツガク
毒物学的	ドクブツガクテキ
毒物学者	ドクブツガクシヤ
毒突く	ドクヅク
毒蛾	ドクガ
毒血症	ドクケツシヨウ
毒見	ドクミ
比い	ヒイ
比える	ヒエル
比す	ヒス
比例して	ヒレイシテ
比例する	ヒレイスル
比例代表制	ヒレイダイヒヨウセイ
比例係数	ヒレイケイスウ
比例定数	ヒレイテイスウ
比例的	ヒレイテキ
比例税	ヒレイゼイ
比例計数管	ヒレイケイスウカン
比倫	ヒリン
比喩的	ヒユテキ
